"Freq [GHz]","dB(St11) []"
1.2375,-2.27116557353333
1.23975,-2.2626539581782
1.242,-2.25424102854297
1.24425,-2.24592500230674
1.2465,-2.23770413744894
1.24875,-2.2295767312622
1.251,-2.22154111939461
1.25325,-2.21359567492045
1.2555,-2.20573880743835
1.25775,-2.1979689621961
1.26,-2.19028461924104
1.26225,-2.1826842925953
1.2645,-2.17516652945507
1.26675,-2.16772990941298
1.269,-2.16037304370298
1.27125,-2.15309457446689
1.2735,-2.14589317404196
1.27575,-2.13876754426869
1.278,-2.13171641581832
1.28025,-2.12473854753931
1.2825,-2.11783272582224
1.28475,-2.1109977639825
1.287,-2.10423250166015
1.28925,-2.09753580423658
1.2915,-2.09090656226725
1.29375,-2.08434369093003
1.296,-2.07784612948875
1.29825,-2.07141284077141
1.3005,-2.06504281066256
1.30275,-2.05873504760947
1.305,-2.05248858214162
1.30725,-2.04630246640309
1.3095,-2.04017577369751
1.31175,-2.03410759804509
1.314,-2.02809705375146
1.31625,-2.02214327498782
1.3185,-2.01624541538222
1.32075,-2.01040264762147
1.323,-2.00461416306352
1.32525,-1.99887917135978
1.3275,-1.99319690008731
1.32975,-1.98756659439044
1.332,-1.98198751663149
1.33425,-1.9764589460505
1.3365,-1.97098017843352
1.33875,-1.96555052578934
1.341,-1.96016931603422
1.34325,-1.95483589268463
1.3455,-1.94954961455755
1.34775,-1.94430985547827
1.35,-1.93911600399523
